,rand1,rand2,best1,best2,currtobest1,pbest/P-0.05,pbest/P-0.1,pbest/P-0.15,pbest/P-0.2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0006536920509013579,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0006536920509013579,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.004507983918014446,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.00885641936126649,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.009849058204872451,0.0,0.0,0.0,0.0,0.0,0.00017193003223155823
29,1.576275164025239e-05,0.0,0.029660608351210465,0.0,0.0,0.0,0.0,0.0,0.00017193003223155823
30,0.00040157295144099104,0.0,0.06197212110424554,0.0,0.0,0.0,0.0,0.0,0.00017193003223155823
31,0.000999190577476907,0.0,0.09580715870416322,0.0,0.0,0.0003390736064573232,0.0,0.0027812845120680166,0.00017539840407078617
32,0.0023248468840176063,0.0,0.129386437803671,0.0008599888270979888,0.0,0.0003390736064573232,0.0,0.00624331211982183,0.00017539840407078617
33,0.011805418058469252,0.0,0.16658405715217756,0.0048646649961563955,0.0,0.0007111511803034402,0.0,0.006915522615316277,0.0005333974172472458
34,0.03306247400396204,0.0,0.21816186256245654,0.009907437132441226,0.0,0.0025876583868654443,0.0063174122438885505,0.006915522615316277,0.003056878772582808
