,rand1,rand2,best1,best2,currtobest1,pbest/P-0.05,pbest/P-0.1,pbest/P-0.15,pbest/P-0.2
0,110.37338420443862,110.37338420443862,110.37338420443862,110.37338420443862,110.37338420443862,110.37338420443862,110.37338420443862,110.37338420443862,110.37338420443862
1,90.38706326866802,91.55650030112069,94.33678413955035,91.53687186137364,95.43120336580388,96.45512761827294,100.94709100909205,91.39887625250263,89.60074898356626
2,72.99775893054549,77.30368673231293,76.65129050701654,79.62690949249291,78.83826902295027,78.21769383178057,89.10730434372006,71.01840277975762,78.3257801883529
3,61.8441206882292,65.87908833838694,65.8285008813827,63.59644853899054,63.83009435281739,66.79455095693393,71.12713471397608,59.6175678188921,63.27359644033595
4,50.69116283061155,55.92996818154036,57.61105147402761,56.159676010722514,55.578071579366686,58.067442078947984,61.278905933201905,52.88483810283002,51.73550127534217
5,46.58114570841348,49.122509095860124,47.8649290394583,49.9528119013114,50.57738149728614,50.69480667383659,48.92983054980586,49.46033001484955,47.66561957439132
6,43.30148670408698,41.83621733750276,43.90531988740157,44.343675200096875,46.633052142993805,45.65014230795084,40.46000853078507,46.555007930853215,42.97612079197828
7,39.69238533216056,38.99723662393198,37.714147991465644,40.696572893607474,43.89252500736212,39.17315938108023,36.64017698332269,41.74602441659192,37.131767339643694
8,35.65327986265229,36.681850772671446,35.64721509914868,35.348753987501475,40.34669397530174,34.88177678349423,34.41487731801432,38.75155890796096,35.12368246037138
9,30.34348636186179,31.70626608206863,30.18616293202114,32.660131105301126,37.36678592677625,30.046621204097164,30.749292040863793,33.450233234790005,29.772668164963786
10,27.424364708585802,27.539726688032474,25.42572226654585,28.96848856849276,33.46116330294624,27.30895900847168,28.134615024556833,28.919582912215965,26.372115592590955
11,24.003384639090218,24.390097313754037,21.53096967272349,26.11093417689442,29.390742329328358,25.512670664873692,23.969188421662434,24.118439268453038,24.40916438822616
12,21.416322171682943,23.110240555122132,18.79551168951076,21.9710074413745,25.55777420178207,22.184457648717395,21.08851220445555,21.836850932809508,20.605570014810603
13,18.026320498844708,20.931611698054645,16.50071624941033,19.06787003547526,23.57752682604588,19.927078130140345,18.63541575389689,19.713301632395613,18.440812586746425
14,14.944292324408602,18.30340607202624,13.64271381548343,17.65244573679165,21.590964864480625,17.09478485016199,16.612124129853807,17.421846905353515,15.798758994138032
15,12.953798905921783,16.437795877552265,11.89719466164579,15.148401605914213,18.90264026007589,15.11807712101186,14.326578310183944,15.065339084129233,13.971528908358055
16,11.321813119285434,14.724753826250836,10.038101530746344,14.036329407193868,16.469024376368846,12.710925569782383,12.74148901504083,13.730219615631391,12.509469830478668
17,9.49284171032315,12.818508080982024,8.4598062880746,12.052261309469866,14.762082980862484,11.02397232071922,11.506782880610338,12.089943140638729,11.385189107696924
18,8.302962793143461,11.223183083883765,7.526160317289024,10.635758263946688,12.671811439206836,10.582596591644187,9.798361633341505,10.544597622311247,9.73436391786141
19,7.492948558075114,9.800827271624707,5.998325800950257,9.380906707861795,11.716840094476684,9.472255896985915,8.738543922690988,9.440188726228076,8.561672062360982
20,7.011211149866997,9.186311779227575,5.15361246920695,8.468011819176995,10.057809593700405,8.288673145539258,7.953299282524795,8.436475664750859,7.789915162832615
21,6.313461467452886,7.929646063418441,4.65985546243394,7.755878927847947,9.126163453064832,7.409003062471635,6.996242003284962,7.477025519552825,7.038470846885191
22,5.943128028593031,7.178775800452769,4.013642455827576,6.398267269420461,8.369833005152396,6.680513332533942,6.650118409087719,6.398894704293672,5.901751193967186
23,5.033769547524437,6.59784681476252,3.725068177919932,5.493629942567074,8.011326793955302,5.380709491259507,5.633476715429824,5.525106093148866,5.349914436924647
24,4.408694697553373,6.140931767807378,3.1826570109084598,5.115335141127775,7.15470900866306,4.650179505962364,5.055440117095135,5.038376741429515,4.7535777857477
25,3.92957906569135,5.52556632839649,2.763595101603615,4.717249304282024,6.770462996324215,4.3284564377252845,4.598675346562591,4.404055799408614,4.193503066122534
26,3.3889281916367002,4.8898824112734625,2.288488670330344,4.37436808991017,6.384245297849975,4.137769939261893,4.131389269503575,3.989907867150269,3.76711549058688
27,3.0466719279222416,4.515252578486936,2.0075585401512996,3.636070139901179,5.729534142496848,3.7312422897086206,3.5848654931608945,3.7290437028425343,3.1818158800692578
28,2.748598904437118,4.098711807139862,1.8540579911676638,3.2376594694036966,5.423780284244619,3.4787873042110307,3.3101415852894065,3.26723780661574,2.833984502563614
29,2.3879211653308756,3.9052271338018327,1.5568690134380818,2.9706032749019147,4.913403335766344,3.1357213597558258,3.031202987982778,3.0522025904513206,2.580166372991593
30,2.1949142532493418,3.7089499145073295,1.3123509027267029,2.7524388650700056,4.586755851325914,2.953107748798662,2.7816035234829557,2.6452547916547657,2.34287560165859
31,1.9497940766437294,3.1457523955523965,1.1251499814801245,2.381721402764582,4.293791188999659,2.525272239388987,2.5461298971387025,2.381386309191673,2.0531223454746175
32,1.7279673542827412,2.742735679694199,0.9882653791575642,2.1080497781820275,3.9330828046004935,2.2680283474585115,2.1811543846412014,2.161663998818342,1.823312883199933
33,1.5047962014384144,2.4478247616523516,0.7714136781113027,1.832128656903691,3.4122458934416455,2.101707430386806,1.928909306520662,1.9796808877012908,1.6604782598021024
34,1.3051487085532523,2.2438139010423104,0.5974174304806428,1.616301768548631,3.2754002558332944,1.9341316752598805,1.642467319962482,1.7346711216821098,1.5252393295484625
35,1.1068703153994714,2.0467524376366146,0.5151867275816441,1.427967863719605,2.974756795570086,1.6357737001206716,1.4268857123202134,1.605786477910941,1.4178262696776724
36,0.8916491116715858,1.8895901674784048,0.43411019057068395,1.2796768784877197,2.718853851957805,1.463398424872941,1.242894832726648,1.4040393845834154,1.2823260656154787
37,0.7943110079254143,1.669554019494864,0.34892352291502515,1.116338139870075,2.482420320736657,1.312260192461418,1.0789104056713157,1.1669534061482447,1.1069905257013906
38,0.6751599962155203,1.4635271925754751,0.2625656031637718,1.0228468154627743,2.2638689522670554,1.1774571808429455,0.9606516051524931,1.0506180260466178,1.0100609295975447
39,0.557192414472235,1.3018420718997763,0.20057101818516174,0.9085282505178484,2.128137672854743,1.0436558609468098,0.8920900485846524,0.9317561284753235,0.88204439662228
40,0.4755150072978156,1.2123584176714752,0.15474358611173267,0.7509520789411892,1.9559782475754648,0.9033408355422765,0.817588284417442,0.8405007430902512,0.7981291687151386
41,0.39988628279613914,1.1011771247112188,0.1322552803906284,0.6425754884412157,1.7763912438639726,0.8056668664190578,0.7443512445627956,0.7381935987107222,0.7009548640110395
42,0.3311924212567735,1.019062645408947,0.11400563912370144,0.54539303675663,1.6572547037563743,0.7172106734787651,0.661468071359615,0.675313680275126,0.6225774826465418
43,0.2603408092295224,0.7972685431855157,0.09264476247008811,0.4835339509470211,1.555180669054655,0.6506628007401339,0.5894675462592167,0.5847976473958086,0.5314053681132899
44,0.2164223092191119,0.6811519614015568,0.08151474598358528,0.4110972087637314,1.4442849945114815,0.5459193838914692,0.5452602343573173,0.49919253091582355,0.46066013823502117
45,0.181089203738103,0.5984953646733426,0.07114122738135695,0.3574192971779097,1.3232495205103907,0.476399738745077,0.49542039547615235,0.45786613224634265,0.387742268881229
46,0.148136887454625,0.526785502286958,0.06381738844329117,0.2925089201887256,1.2260450156978597,0.4100220414558594,0.4344229970252579,0.41833215445903527,0.34420467661218856
47,0.12671948393049512,0.43018397062740554,0.05839418335944287,0.24559433138366746,1.1150207982875657,0.36900142135576297,0.3751369870360829,0.36989462185979705,0.30277841616208295
48,0.10645462360962146,0.37790990485038906,0.054446766849774945,0.2180685751081091,1.0417000202113669,0.32800712937103554,0.3409145224939216,0.33487075160143653,0.2617097971530365
49,0.08987890592174418,0.3291439095047257,0.05104057092450622,0.18813655083896658,0.9111755599243704,0.2906051274630904,0.3131525315901345,0.302390821218354,0.23315951801884094
50,0.08032935769568977,0.2860500047221235,0.04856428016219112,0.1601558150212546,0.8635991712958829,0.2557513594159737,0.29230138105276293,0.27662370147460186,0.20758784825871726
51,0.07267181198714241,0.23420406124836604,0.04691461347736152,0.13560290404446979,0.7753762345203885,0.22136112173016181,0.27931410443906857,0.256102782402614,0.1887746464099434
52,0.06678678408266957,0.2064853670687209,0.04505320963698198,0.1169017784538889,0.7044784839796332,0.20072848242356944,0.2643895285474921,0.233152454895975,0.1689397494390192
